Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Telangana,30-09-2020,M,9.09,10972577,38.24,South
Telangana,31-10-2020,M,5.87,11498017,39.26,South
Uttar Pradesh,31-01-2020,M,9.98,45587366,38.73,North
Uttar Pradesh,29-02-2020,M,9.95,46048445,37.33,North
Uttar Pradesh,31-03-2020,M,9.72,46984388,37.51,North
Uttar Pradesh,30-04-2020,M,20.17,41604488,35.39,North
Uttar Pradesh,31-05-2020,M,19.36,42046236,34.51,North
Uttar Pradesh,30-06-2020,M,10.99,46512514,38.23,North
Uttar Pradesh,31-07-2020,M,12.91,45065370,36.87,North
Uttar Pradesh,31-08-2020,M,12.74,46259184,37.07,North
Uttar Pradesh,30-09-2020,M,11.48,46843999,38.24,North
Uttar Pradesh,31-10-2020,M,11.49,46326846,38.63,North
West Bengal,31-01-2020,M,5.94,32010921,43.5,East
West Bengal,29-02-2020,M,7.49,30898309,44.98,East
West Bengal,31-03-2020,M,6.07,32496856,44.95,East
West Bengal,30-04-2020,M,22.98,25568418,38.6,East
West Bengal,31-05-2020,M,19.39,28028604,40.04,East
West Bengal,30-06-2020,M,12.06,29914604,40.54,East
West Bengal,31-07-2020,M,8.05,31803183,44.33,East
West Bengal,31-08-2020,M,9.53,30793314,43.61,East
West Bengal,30-09-2020,M,8.24,30233034,43.61,East
West Bengal,31-10-2020,M,7.01,30866833,45.68,East
